Title,Artist,URL
As It Was,Harry Styles,https://www.youtube.com/watch?v=H5v3kku4y6Q
Heat Waves,Glass Animals,https://www.youtube.com/watch?v=mRD0-GxqHVo
Stay,The Kid Laroi And Justin Bieber,https://www.youtube.com/watch?v=kTJczUoc26U
Cold Heart (Pnau Remix),Elton John And Dua Lipa,https://www.youtube.com/watch?v=qod03PVTLqk
Shivers,Ed Sheeran,https://www.youtube.com/watch?v=Il0S8BoucSA
Easy On Me,Adele,https://www.youtube.com/watch?v=U3ASj1L6_sY
Abcdefu,Gayle,https://www.youtube.com/watch?v=NaFd8ucHLuo
Bad Habits,Ed Sheeran,https://www.youtube.com/watch?v=orJSJGHjBLI
Enemy,Imagine Dragons And Jid,https://www.youtube.com/watch?v=D9G1VOjN_84
Save Your Tears,The Weeknd And Ariana Grande,https://www.youtube.com/watch?v=LIIDh-qI9oI
Me Porto Bonito,Bad Bunny And Chencho Corleone,https://www.youtube.com/watch?v=saGYMhApaH8
Industry Baby,Lil Nas X And Jack Harlow,https://www.youtube.com/watch?v=UTHLKHL_whs
Tití Me Preguntó,Bad Bunny,https://www.youtube.com/watch?v=Cr8K88UcO0s
Levitating,Dua Lipa,https://www.youtube.com/watch?v=TUVcZfQe-Kw
Pepas,Farruko,https://www.youtube.com/watch?v=y8trd3gjJt0
Blinding Lights,The Weeknd,https://www.youtube.com/watch?v=4NRXx6U8ABQ
Love Nwantiti (Ah Ah Ah),Ckay,https://www.youtube.com/watch?v=D-YDEyuDxWU
Running Up That Hill (A Deal With God),Kate Bush,https://www.youtube.com/watch?v=wp43OdtAAkM
Ghost,Justin Bieber,https://www.youtube.com/watch?v=Fp8msa5uYsc
First Class,Jack Harlow,https://www.youtube.com/watch?v=yQBImEeXNZ4
Happier Than Ever,Billie Eilish,https://www.youtube.com/watch?v=5GJWxDKyk3A
Woman,Doja Cat,https://www.youtube.com/watch?v=yxW5yuzVi8w
Ojitos Lindos,Bad Bunny And Bomba Estéreo,https://www.youtube.com/watch?v=wAjHQXrIj9o
Where Are You Now,Lost Frequencies And Calum Scott,https://www.youtube.com/watch?v=PoP2Sa7wYNQ
My Universe,Coldplay And Bts,https://www.youtube.com/watch?v=3YqPKLZF_WU
Moscow Mule,Bad Bunny,https://www.youtube.com/watch?v=p38WgakuYDo
Good 4 U,Olivia Rodrigo,https://www.youtube.com/watch?v=gNi_6U5Pm_o
Efecto,Bad Bunny,https://www.youtube.com/watch?v=Nk8C9FdCdJQ
Bam Bam,Camila Cabello Featuring Ed Sheeran,https://www.youtube.com/watch?v=-8VfKZCOo_I
About Damn Time,Lizzo,https://www.youtube.com/watch?v=IXXxciRUMzE
Perfect,Ed Sheeran,https://www.youtube.com/watch?v=2Vv-BfVoq4g
Provenza,Karol G,https://www.youtube.com/watch?v=ca48oMV59LU
Another Love,Tom Odell,https://www.youtube.com/watch?v=MwpMEbgC7DA
Sweater Weather,The Neighbourhood,https://www.youtube.com/watch?v=GCdwKhTtNNw
"Bzrp Music Sessions, Vol. 52",Bizarrap And Quevedo,https://www.youtube.com/watch?v=A_g3lMcWVy0
