Title.1,Artist(s).1,URL.1
As It Was,Harry Styles,https://www.youtube.com/watch?v=H5v3kku4y6Q
Heat Waves,Glass Animals,https://www.youtube.com/watch?v=mRD0-GxqHVo
Cold Heart (Pnau Remix),Elton John And Dua Lipa,https://www.youtube.com/watch?v=qod03PVTLqk
Stay,The Kid Laroi And Justin Bieber,https://www.youtube.com/watch?v=kTJczUoc26U
Shivers,Ed Sheeran,https://www.youtube.com/watch?v=Il0S8BoucSA
Abcdefu,Gayle,https://www.youtube.com/watch?v=NaFd8ucHLuo
Bad Habits,Ed Sheeran,https://www.youtube.com/watch?v=orJSJGHjBLI
Easy On Me,Adele,https://www.youtube.com/watch?v=U3ASj1L6_sY
Enemy,Imagine Dragons And Jid,https://www.youtube.com/watch?v=D9G1VOjN_84
Save Your Tears,The Weeknd And Ariana Grande,https://www.youtube.com/watch?v=LIIDh-qI9oI
Pepas,Farruko,https://www.youtube.com/watch?v=y8trd3gjJt0
Me Porto Bonito,Bad Bunny And Chencho Corleone,https://www.youtube.com/watch?v=saGYMhApaH8
Industry Baby,Lil Nas X And Jack Harlow,https://www.youtube.com/watch?v=UTHLKHL_whs
Love Nwantiti (Ah Ah Ah),Ckay,https://www.youtube.com/watch?v=D-YDEyuDxWU
Levitating,Dua Lipa,https://www.youtube.com/watch?v=TUVcZfQe-Kw
Tití Me Preguntó,Bad Bunny,https://www.youtube.com/watch?v=Cr8K88UcO0s
Blinding Lights,The Weeknd,https://www.youtube.com/watch?v=4NRXx6U8ABQ
Where Are You Now,Lost Frequencies And Calum Scott,https://www.youtube.com/watch?v=PoP2Sa7wYNQ
My Universe,Coldplay And Bts,https://www.youtube.com/watch?v=3YqPKLZF_WU
Another Love,Tom Odell,https://www.youtube.com/watch?v=MwpMEbgC7DA
"Bzrp Music Sessions, Vol. 52",Bizarrap And Quevedo,https://www.youtube.com/watch?v=A_g3lMcWVy0
Butter,Bts,https://www.youtube.com/watch?v=WMweEpGlu_U
Ojitos Lindos,Bad Bunny And Bomba Estéreo,https://www.youtube.com/watch?v=wAjHQXrIj9o
Running Up That Hill (A Deal With God),Kate Bush,https://www.youtube.com/watch?v=wp43OdtAAkM
Bam Bam,Camila Cabello Featuring Ed Sheeran,https://www.youtube.com/watch?v=-8VfKZCOo_I
Ghost,Justin Bieber,https://www.youtube.com/watch?v=Fp8msa5uYsc
Dynamite,Bts,https://www.youtube.com/watch?v=gdZLi9oWNZg
Desesperados,Rauw Alejandro And Chencho Corleone,https://www.youtube.com/watch?v=K9mTSekTktw
Woman,Doja Cat,https://www.youtube.com/watch?v=yxW5yuzVi8w
Do It To It,Acraze Featuring Cherish,https://www.youtube.com/watch?v=6wwuEXlIniU
Happier Than Ever,Billie Eilish,https://www.youtube.com/watch?v=5GJWxDKyk3A
The Motto,Tiësto And Ava Max,https://www.youtube.com/watch?v=1_4ELAxKrDc
Provenza,Karol G,https://www.youtube.com/watch?v=ca48oMV59LU
Perfect,Ed Sheeran,https://www.youtube.com/watch?v=2Vv-BfVoq4g
Efecto,Bad Bunny,https://www.youtube.com/watch?v=Nk8C9FdCdJQ
